PK_TEMPO;data;dia;mes;ano;trimestre
6516c0fd95b9f31db71c499ac1ed56c90aeda7e5236427a81a6f1d735ce5f39c;2017-08-12;12;8;2017;3
f316ef9e9e3919861f6ddade21a7c7bf344c8ec7bc378fa1c774800a1177f827;2018-08-21;21;8;2018;3
9c3169e820150ceb26ec986d38e14eeca30f398cef1d232e7543f78466e2e398;2018-06-24;24;6;2018;2
464d4c3856f93c68207b7b6e72511c837eb5178781e6cddc4259e0f58669770a;2018-12-11;11;12;2018;4
43d4ce3d4c2c2126d77035e5b2ce749f0f77098cf020ef88dcd3bc3ab12e9819;2018-03-27;27;3;2018;1
75158a2021ff5d51f274ae49cb98561030db07036f401200736102d9489f1e65;2017-02-16;16;2;2017;1
1d55ad9a7f17ac8e5123c1d91e91d3386fea3513b92e6858173e508233a65a42;2018-04-24;24;4;2018;2
9cecff034a9c96be781a76d8b99d7724024183daba40a60dff77d23bbefdfcf9;2017-06-11;11;6;2017;2
ae027e889e5aaa78a79d255425a39e5f499ee1fdfd3b0776fe4b03a19d6c198b;2018-09-15;15;9;2018;3
43bc103f1e6b0ffe1f64674ae7a4a57ca22c105a0cc102ca72a36581b0ab8dfc;2017-04-19;19;4;2017;2
521bc89c37920d3c0529bf20e5cc229892486719013089d169a9be6bc42a88bd;2017-12-03;3;12;2017;4
d4c4434a41d2729fba44424c564c9c7a2d813fb63e4213071722445ee6b42a92;2018-02-15;15;2;2018;1
a3544219d38685d9e935895f77b53d3dd9578810c988202046983f8253162334;2017-04-30;30;4;2017;2
10291e62cb3563726de5794db1b69913619c872b820ee6d048ece3b89b8182c9;2017-03-16;16;3;2017;1
cfef22fa89d475ced6164f6d3939eb4886e18c86ad5a58f4cff568b40d868d6e;2018-10-07;7;10;2018;4
eadedf9cdd03e888a5a278f1a2f747ba77e9722d276d4a6966720da545abe537;2019-01-01;1;1;2019;1
396227505a04208346a2066537d3b03698ea35aa979b80157dac539b701c7e17;2017-04-26;26;4;2017;2
d27b55aff9e642d03b7c943447f94a2d38caebfade647417f8b814ed65d47407;2018-08-20;20;8;2018;3
d08e8a114c4787410400f92d8dea813d8d3c6d5c87a5191fb1c0af4407edc843;2017-04-08;8;4;2017;2
d8ebd582ecb23286086b94e6e19f4e5d5b4ba13c5cf9194980596770f5a8167f;2017-04-09;9;4;2017;2
105ce8f5ded0debc35e6cfa830d55dbd8e2fb0c1d5a5fe7c32f1cbe874b90e86;2018-05-29;29;5;2018;2
6b2aa3fbe2f9135224eb410e10a6d4307acfac2b5924fc3b90824f70e75d459a;2017-11-24;24;11;2017;4
9016d2c44f8260760bbb9a686e3d9366eeb8494757dd3a176bd8cfca04a43030;2019-03-12;12;3;2019;1
88b3c8fdea5d334f1cf1eac7a2568527a4a27400da1dbc1eb93383c4ab9bc907;2019-03-18;18;3;2019;1
989573a0ca7bce3c86a7429fc489fb8fa0ddd1ce23019ca3166beff903d47472;2018-12-24;24;12;2018;4
b9c3cacff94daf7e4aa8a25078e72da77314af65ba05a7320e2f1f2d9750741f;2017-03-02;2;3;2017;1
dbdc514990edf34dba5ee4f3fdf2cc87a4a5497c73bcf0e3502ae58f60107d58;2017-06-14;14;6;2017;2
676e344a359fbb37a4f2620887bb9f86ce5b0fe5e6233d38772966224a3089e3;2017-08-05;5;8;2017;3
c4815c965d755542bd244c02546784f39cac5a8d674904c7aa22d9d432a65fca;2019-02-26;26;2;2019;1
ecfcb739b2c7fd65a38b2657bcb445a2ad14ddbb6433fa5a0b0a2d0d445837c7;2018-06-18;18;6;2018;2
f54fd13dd996fc73d1291875a2f930a93c8fda430468616ceefe9f03ec9c9744;2018-05-14;14;5;2018;2
3cdaa918ab8a8273d86e8a73c060c20015547da59ec2ac8d99f3ea9636383622;2018-10-30;30;10;2018;4
2a66cf5c91903764e1ed5bc5dad286801b74c315c93032a95b895ba80a3da568;2017-11-26;26;11;2017;4
51e80ab761307a7dfc7f9a9e249b7010d0c3b2c94fd637ee69f80a8fc229905a;2019-01-20;20;1;2019;1
9a64e3dbbec7e8b99a66504276d2d21ce59abcdb105680ab75ee74b2ab0b81cb;2017-01-12;12;1;2017;1
62b504fafe8d8fee55f51bb020003911efa6be6e3b149b5cda919d5f90f905b3;2017-08-26;26;8;2017;3
9d8b163ae8d135794838d30b9df66081c1f66860a7e7409a81f1d8b7ef31e3f5;2017-10-04;4;10;2017;4
1f4ab7f317bbee70695554839ba70361ed0e3d5ac9c43afee9554645ff4e1324;2018-11-25;25;11;2018;4
dc0d224c0aa88f72b3281840e06ad3b3b9e0da7524b84caef95e851a69e163ad;2018-10-17;17;10;2018;4
9bcd10e6a2f9b244595aea81df8b2cbffcbaf07fb622ed4d87153de72017855a;2018-08-12;12;8;2018;3
b3baf7dc60866af8028be335bdb2e3000047e4026f9fc47271d2248a87d017b3;2018-02-21;21;2;2018;1
e5d0f0075acaeba32d55f1a478bc13b6fcc9f4adda20577ffdf6d6b4d6252870;2017-03-03;3;3;2017;1
6b05e6824242835b693efa07de0fdcd08c6eabd6c7f4c74391608596037f97d3;2018-03-18;18;3;2018;1
13be54d55545bb0a78bfc8de1516a28226af8a4afb71b6bbedcbbf1913299f17;2019-01-06;6;1;2019;1
17443d3d889554a7618a80c2b3c30b001dc3227461811f839c1a34370c8be044;2018-09-29;29;9;2018;3
03ad9c83ac33f2990be348798e20b05ca4db2167718c52abfce011c741b1ac03;2018-03-17;17;3;2018;1
97b9c89042cc8d2248b9d669691cf353e06ad1f44f56d56ffd89a977b1b0e1dd;2018-03-24;24;3;2018;1
7ddf4f0a3db7d5a0840df7c701c3cf207be2e1f5526e14f7321b10299f79efe8;2018-04-02;2;4;2018;2
316bd890f8cd761a8eeef11483ab83f17cf73c7d8c2a240f1058349568e71479;2017-10-21;21;10;2017;4
b3807e679123d9dae649b30d43989ae97dcbb58111d30ae3589411d7aa7bb34a;2018-06-10;10;6;2018;2
d49c984b5afbf16899ff6dcf2f4be48f07c36cdff23c7ed606cb44e379af2fe8;2018-01-09;9;1;2018;1
bb084ada274f9086891efa2d81e942e61952be7cb522fb0b77424bc985fa0589;2018-09-04;4;9;2018;3
ac02640623949901b6467edcbbf84d96f0eaa8b13985f8554aaf20b2ee9a599a;2018-09-26;26;9;2018;3
ed9eda6555c22d6e97e63037d034b39b841de57c03e4f88b4ea58275f19a736f;2017-02-26;26;2;2017;1
f9507977951071bcea4fe414f3a36a29b831f69a8a6625cf5a3bcb8ceb4ab721;2018-11-19;19;11;2018;4
f8eeefbc6c2ea65986b4ae8666b3718a900bdc464a93f375eccfd04e11bace12;2019-03-05;5;3;2019;1
3ddce91f66df72ac0a6792d457281a268f95659147d899d7a5ff024f88f0d49a;2018-03-10;10;3;2018;1
9f6c4e08e8194d160e0827c4405dbaa098114daae13aace030319ead4eb33936;2019-03-19;19;3;2019;1
2d533305b8829de9c91d3aa326e52abf7e1674eb3073da5faa154b4aa1a75a49;2018-05-01;1;5;2018;2
2734e02825e74656e3c3bacda6a58000b7b9337b4dd0445917eebe6237406785;2017-08-17;17;8;2017;3
2e64eecc0410faa6979b89431b07018365d5a3c0605a13e07ed4132cc0849017;2017-07-27;27;7;2017;3
0cf68c32970def906e4a5530b1c38436e76a738629ba390b35e80dbc53f1c236;2018-10-20;20;10;2018;4
46d9cb350064e79245aca8f0720fa579b10ea35f5d5249507658cce064fbf8b1;2017-07-23;23;7;2017;3
9bc892eaa48b3b1cc93774b66a592b43f71548393bf2853c8147106d2ad618de;2017-10-27;27;10;2017;4
0647209c341422da677f2a0ffb093b55f8bcdb1e72d8960c9497dfc6de15f291;2017-11-11;11;11;2017;4
fecc7c60926d1b3b2578ab7d52d98d22e182b8a608e7fa2f4eb9ad6f046f2a74;2018-03-13;13;3;2018;1
be22694956d65072e332af2de8f00b62b2e758b6b6846e99c8dd24f817b1f82d;2018-08-15;15;8;2018;3
197492bc6fd689bcf21f69a451b3b17b68da3fca42acf514edf138be1bb10ab6;2018-01-02;2;1;2018;1
7a59c9c491f30890b740dc789b237bcc8f26f5891d0b89568a35629b0f0a7c46;2017-12-20;20;12;2017;4
61f811b8fe1ccbfdf29dc181433ffd330cae8c5607a2feaea9fe23456158fec0;2018-08-27;27;8;2018;3
90a9f905f7bd426b7da737dbd52dcc6a54e60ee51b981934f913ff090ea738c6;2018-05-23;23;5;2018;2
02c0fa2be21d67419c737faff1070c0d814f89b3f8670e5f171292c6baa65e10;2017-06-16;16;6;2017;2
b92cdef425ce50f517ae4065b817308e2bb0e06233735554f1a7427d4ca572de;2018-08-26;26;8;2018;3
0602c413cda1d488fcb4006c4d5cd95d5ee5a93de6d55163f04b03355d4b611f;2019-02-06;6;2;2019;1
9d98957719e24fba26d1a63cecbe1194d51695ccd2c1e0b657d4a728fafb4699;2018-07-15;15;7;2018;3
28dfb3aab6a539b9cf4762eeb08361bea25e79563b8f5901deb6b725b4ef90bf;2018-03-19;19;3;2018;1
264c7bd675aa9b2ceb659bfb3a652c041b745c7d05e0bd7ed10d5c6ebd9900c7;2018-04-22;22;4;2018;2
cd3f5a66ceab0182aaae6803b4a49b2300ecbab5f39973b39d2de862652ce9d5;2017-04-28;28;4;2017;2
333866eb9f7f6977061ddde922040815ffb97d6855c1dfa561dd8bdbd1bbffad;2019-01-23;23;1;2019;1
3a157c7ef964523d883d0bda765c72a28ad2775cd83677cc44163b66c551b387;2018-10-31;31;10;2018;4
8f1300d2c97eea712229395b2359f87e8792cb648df33b32c12d7297adaf062c;2019-01-13;13;1;2019;1
0892630751d7297d011aebc794ca698641e21b68f3b0a912adef3ab2fa6af166;2019-01-15;15;1;2019;1
d0ca9493665c43e36b2867c39fba698c1a34543ad7586c1c3375c4b52af0af40;2018-04-10;10;4;2018;2
aa5ae872259e2ba8a5c983f1f03523c249b773c4df739c55506dea81c57c0334;2017-04-29;29;4;2017;2
67bd375a40c0c2a9f4c2b78f2236b7217dfeaa5939cda1ce227591646170836c;2018-04-25;25;4;2018;2
d3189665624dafdd57a400ba7af185e995e4281e41d00c65e402bf086bcb021e;2018-10-14;14;10;2018;4
3fa3ebaf60867561fb915c5f4dbfd163db21a312fb8d9704cdeb78ee636b9d59;2017-12-15;15;12;2017;4
a38be658df6280ea296b178937b56cafbccba12bdf64e98bf27c7cd0db31795b;2019-01-31;31;1;2019;1
fa69c59c5f63cd79162349cd034efd27542653ded40d7e33eaa3554710ab0331;2018-09-05;5;9;2018;3
bdfdf616298809cd5b238fd1b6d21fb08ed43625eb52d5c26f9141f2e28a5ad7;2018-10-09;9;10;2018;4
2e8e6c52e813b5edb3e9af09453e1a63551755d39ff3e4fce369b622013d845f;2017-02-12;12;2;2017;1
a972036251784f6085280c4a62eb3eab2068e722b6bffda9182540ad8f8d97c2;2017-05-05;5;5;2017;2
eabd0d0bd60b93eaada198fce380645c7a19ffc389aaa3aaf17d1dec41363dad;2017-07-30;30;7;2017;3
26078770dbf6fdc66dbaf1a78b47638b4f0c09e8e5a4e226bc40aaebbc390fca;2017-07-09;9;7;2017;3
adab5ed4e81e799e16f7fb9ad5288f6c01063dcfed16b240bc663fcc8284c6a9;2018-12-26;26;12;2018;4
d3bd0173897005d3fcc6713e08db2e537d6fdf2e889fe0e7402ba7692bb7ffc3;2018-04-30;30;4;2018;2
bd8eaf567d07b20b16ffc2f427268bf93da890d39ec01e1dd24651c26bc9aadd;2018-11-12;12;11;2018;4
a99847f7db2f586ca384a19d2cb70d29f1298d043e9c23e64ca5b8af43e1bf5b;2018-02-11;11;2;2018;1
43eea92347e9429998cc995e14459e8923d71deaee162d1a4cea1744079b03c7;2018-02-05;5;2;2018;1
2599e50d96633a8179a40b2bb5d7b6322198712e5605a23bc9d000d9661ab617;2018-12-29;29;12;2018;4
5a32031a1a2684c640e2caeafd95d15e04848af5aa63049a9b29d55880733d4f;2017-04-21;21;4;2017;2
4650a9f0f931e722dc742be8efb373ebe3421113fb85ce252210151abdb889d3;2018-11-28;28;11;2018;4
7112613ce38ffa664e8c189380796982e587bf2365996ff39592604e2d98faf4;2017-08-03;3;8;2017;3
2df61bd035dbd9c4778672152c5fa574bc1ac6d6395b0c0d9dfddec4d9f8a98b;2018-07-11;11;7;2018;3
2e09d6467bd8a68278b1aad81c8c9dc7a561ca55e001f51c54c1b23856502622;2018-05-07;7;5;2018;2
2ff2aa39693f230d397878ae908d7929ae94da595101d5b4bfca7d5a0a463457;2018-07-24;24;7;2018;3
899539d22969a93200a3f01b07bec85e3ba8f68c8c12ec81905291bd6e87227f;2017-12-24;24;12;2017;4
42e9aa880edac7c83ff885edb8c5b15be699629dfcd960a4b95a2911b68a4f00;2019-01-09;9;1;2019;1
001990425acbc8c8a7f9410add7560ba912b1170a1e384856b9d48ccc1ca4e74;2017-09-02;2;9;2017;3
2f857d204768bc5a51e47671d41043c1c3b11377d774fbf77d21ab82c0b7d31e;2018-12-25;25;12;2018;4
15479c1841ed65b9e6725da20fef941776f78439bb872de38cdb5ca5ac629422;2019-02-13;13;2;2019;1
e9fe2deb69523301802ad1227e788e3dd2fdbc343bfe80805db8c547d3434aa4;2018-01-01;1;1;2018;1
58807d7d99e3b6c047fdb0b6d154f33f26380ed6fdf223b50966a7488733fdf7;2018-03-05;5;3;2018;1
1453528fbe77a66ec03fb92691738ca0c25876311e80c885ec6ac515f8096a19;2018-01-30;30;1;2018;1
2bf71f47deb9bd0fc17d2ce0d1bb34c62c114553915ab2c40dd920e7a8322f15;2017-03-05;5;3;2017;1
0d07c47c1ee46f26fb7ab6f2f7986474d6c9c08a7bd831a358311e27b3b3bf4c;2017-04-01;1;4;2017;2
c5248cfa56dc87fd5e0a2332b6430f1a0a46b556d5903c109d39f3f298204d47;2017-05-07;7;5;2017;2
7288a64dfabeccc937139f4697d7f96a8714264cff6647120f63c5e2c00889df;2017-06-04;4;6;2017;2
63a769c30dcafd234d03aa7471a2dd300128a8ebdd48f6ce1f596c5cdd69d3c7;2017-08-11;11;8;2017;3
f3fa6bb8cc3b38a55709e260479be469209450a2ffaec3f50185fa823d130b5a;2017-08-30;30;8;2017;3
26d0133def938e59082f51b69352585083f34d287fcc1362362758389aca1c58;2017-06-08;8;6;2017;2
18e10ae6075b59d32b9d44b9d610394acb1c5a0016767da391ed50f99f7bdae1;2019-01-22;22;1;2019;1
09346fa2e13287bb4358abd44ad8a3519ea9bc530d108524fa487aa4ced37841;2017-05-06;6;5;2017;2
dbdce460fffb12c104333b3d37e1a3aadbf724d1be681b6ac84a6b994c2303c0;2017-12-09;9;12;2017;4
cbec11d473e4a43938da5b25a9ecada76ba8a9ac355645125a9322d6087a6733;2018-06-12;12;6;2018;2
0600d6f682c2ce9e66fd75d9aaf98ed055c1d759e60a9087f3ec6b185d5ae450;2017-06-25;25;6;2017;2
db5dfcaf3ccc00374af1697a7def10291938219a85b4eed5c153e79ccd4971c0;2018-08-06;6;8;2018;3
6d35c26c2baf478a43065124ef4bf097c6661c6c3f0fcf60b5ae3e1012a114d5;2018-09-17;17;9;2018;3
4f12220cc1748a04f8d62ae1c7bfb1d511fa9ade7d9aac76d1128a1f46cfc0b4;2018-09-24;24;9;2018;3
133c5d196ba8c8528658028b7f739f4e01c333a18f8a159b388c571a79f5432a;2018-01-14;14;1;2018;1
56233c17f7718f86a45d05d35cf30f5b0286eedba5012fa5561dfb6f7126d4d2;2018-03-26;26;3;2018;1
a195820b8405088fa9bbdabf5c0f6c95f898e3aa715356fa15a1396f6f6dcd13;2017-08-04;4;8;2017;3
12f46392a50a57107510621b84561caa2cc1aa2ce1fe2a086fd9d4cccc9ebb8b;2017-08-09;9;8;2017;3
116cf26a9921682e2dc5e248a78a26d5cff0530e83cee7f30e3a244b524c579c;2017-08-20;20;8;2017;3
84ce7f2fe3e4098a40927f694811152cd83e4f715c9932a60a40aa2ef700388c;2017-02-02;2;2;2017;1
a059b98586af804fb5137d107a31e423ec63812bed19d84f8e6a27619abf06fd;2018-12-22;22;12;2018;4
2c109fb328a6cf6efb4e645c46107b5733310b3cf9db34da98e8096fb9f52c5c;2018-04-18;18;4;2018;2
df181d2e2cf79852edadf86c959b9c8faf2a943cba6a6dee30217991ea18c86e;2017-04-22;22;4;2017;2
bce7fc7fb66264ca7852ef546f6ebd25f521e920b94e29b11fc797b000ac4edb;2017-05-27;27;5;2017;2
0ff128994220595f992252d81e3bce28046ee299b405c85483746837a0cb6d13;2017-11-22;22;11;2017;4
4b6ed4644cc7ac910bbffa250abf58968d15e7e8150a0fdd92f816e9e09592bb;2018-12-12;12;12;2018;4
253bebb2a0734629756afa2ee1b74f2a63e9ee17d7cd74b202c000ed43168bf2;2018-10-28;28;10;2018;4
64507c5d4c872117e5e9ab9f186454c4eceeb440e66e36f6de7265894c48e675;2018-05-20;20;5;2018;2
99543299185dbacf360120b44e2fe857affc10a61e167b9506c6b1e419ef3c32;2017-06-03;3;6;2017;2
c74ea69e3743cd148a617a207ced3ffca267adf0e21f689f3a10a5a4b1cafc77;2018-05-19;19;5;2018;2
b5dff7144cec60ee6603421606bf1f463a59f1bfd832faef48c5653cc2411b11;2017-04-14;14;4;2017;2
9da1746274ce9c7b6dda8be0379834cd8755a85c75fa66c98afe7272a4d172fd;2018-08-07;7;8;2018;3
b2a1b7652284a187cacb6b1f28bb183dbdb54fff515a216815bc45419d51c257;2017-09-03;3;9;2017;3
cf966f564a6b4f86caaa037ca9f471ece8dbca44addb068e6c08af6fbc6f3a2c;2017-11-03;3;11;2017;4
4b1253998cdabfda4f4835446d4613a40d59bb0dd8289b093b8904a6a2cc151c;2017-11-04;4;11;2017;4
2a4231f15cbb1f39e4e00d33592420cfa6d868da79efad6b0f0947a91e2ca5a0;2017-11-19;19;11;2017;4
2459da86b0a96ddf9c04e2e9d1bce5543fa4bb2dc0e6efb45a57b5e4b6a9f923;2017-12-22;22;12;2017;4
7bc9b7c113deec32650510165a9b8c958c69ef5a5d37dec45c8727eccba6a06e;2018-06-17;17;6;2018;2
f781bdd77fca756f3db542fc832e15996c7c09abb747b1c7499cb61f01ed9425;2018-04-07;7;4;2018;2
be2b55905561f4b80ff8a210a4595055656aa09cac10316745988072bb5c3180;2017-05-10;10;5;2017;2
8726f2de87cc9fc5c9228826c34710bcea93efaaaf3e7d6f88aeb117e888d753;2017-11-02;2;11;2017;4
d2c546e73394b68a84b6ffc70617f8dd4a41d685228d4a48876c373b4768cf50;2017-11-15;15;11;2017;4
41d58dfa982edfeb1b3dd75f1db625e7342e8f14cc6e13a24f8a1f71f7048e01;2017-02-09;9;2;2017;1
4bb51beb660173b71deed318bdcfe850e0928193fab88f60c86fd6535a0e3a76;2017-02-25;25;2;2017;1
5eca4a31fe516b2fed334b7fb476503b97d2b32f4ae7bc40e36b02d3aaebab76;2018-06-09;9;6;2018;2
3802f4c009983f16bbd3ad5fb6f4292b75107efa6b5fb9753d0308851e0b104a;2018-06-25;25;6;2018;2
9f049680a17cb406dfcb58511c557e72670908e43a885d968c2a5de433aabd18;2018-09-11;11;9;2018;3
e3beae407b7a54005e470bb4ccc5160d1ce6cf9fed7c379ba40b60429b505cdf;2017-03-04;4;3;2017;1
c0cf15d48222fdc8c2e76660e19593aaf60d9223689efbd42c934367bece3bd8;2018-04-01;1;4;2018;2
941b4520ac17675670e8b0f58bd202651c868fdf80f1759e7df8c97e7c21c9e8;2017-12-06;6;12;2017;4
f44b2f770b16a3ae1809b6644c45de50d24b258099a9bd22277a0f7afa1b4005;2018-08-28;28;8;2018;3
849162884c1f39dfec621b363f267472ce3b5d4319014cd5a5a4203efa76b35c;2017-02-05;5;2;2017;1
92206046fba8ea2879d1e58ebde3476f446ea89e33ac567d80f114ef2ec8e561;2017-11-09;9;11;2017;4
5384705095429675e3256fbe29beba72680624905114c1199dcfe994ec79cedd;2018-04-17;17;4;2018;2
989cd7ba96c45166cd4702b3e107e73d3be48b71515f0906f033cccea039f558;2017-09-17;17;9;2017;3
01e28c955711f1cdd70aa1048586a4530845ccfba403827577f852593f26ee67;2019-02-04;4;2;2019;1
b0f9f8a18f68fdf07f6fb6c45a73a7cbfc57f2fcd8c73101be9270c038ae9c3c;2017-01-27;27;1;2017;1
4b541fbfe405ee49c812f5667f6711df2a8576ca3b8adc7a0b7cb160336cd3bb;2017-06-02;2;6;2017;2
3688d1dc9b264b8bca894113ecc3c4fbaa386415469b89bf734c9cf8ccbd2cfe;2018-08-04;4;8;2018;3
439f228767a0de85c2d36c67cee11bc6894473661f2483c1609cd58ae4e9548e;2017-08-27;27;8;2017;3
3e32f347c73729d1e4757d511cab372d3ae87de57b21fdda7872b6e85c8baf55;2018-02-04;4;2;2018;1
c98f0fc89b1806e628c14d0485e3a4a6f02ea852211f2a528ac87d8243327b3a;2017-08-10;10;8;2017;3
4405c5f6c56d57e945e5c304c51771899de3753807113699995d3eb4dbe797d8;2017-12-08;8;12;2017;4
5a1ea6baac6daae30e258e33d63c1660f4fd8058b75411a17f2b878bd6628902;2019-01-27;27;1;2019;1
5d7c2cdb324b9442fdff872d4535cb9e130cb5c8e74514c57d7a7456b221b6c8;2019-03-04;4;3;2019;1
0dc01872e343182d4fa4cde70adc467fc01ef68727549e76205be399fb87a026;2018-02-28;28;2;2018;1
5e7fd59f25051eb29a423b2dfff61d9653428ab65ecdbbdf497f0b3a6b539b30;2018-06-07;7;6;2018;2
12f70f71ac6f14e6796310a5cf90434cfa3c34c5c6c840ea0dd9148e597c7e94;2017-10-18;18;10;2017;4
1dc431e8010725dd4ce43c6509208d7496ae224eaaa2c1313b4b237c8f4db298;2018-10-24;24;10;2018;4
1f7c9644db3d0d0f34e99a4ee198c5c47a5ba21f60812b73c738a00978229a60;2017-10-28;28;10;2017;4
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;"";"";"";"";""
